name,site,description,about,business_status,phone,full_address,street,city,state,price_range,postal_code,latitude,longitude,before_and_after_photo,photo,street_view,working_hours,logo,reservation_links,,reviews,booking_appointment_link
TattooMedics Laser Tattoo Removal,http://www.tattoomedics.com/,"TattooMedics offers advanced laser tattoo removal services with a focus on safe, effective results using state-of-the-art technology.","{""From the business"": {""Identifies as LGBTQ+ owned"": true}, ""Service options"": {""Language assistance"": ""Italian""}, ""Accessibility"": {""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Gender-neutral restroom"": true, ""Restroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as LGBTQ+ owned"": true}}",OPERATIONAL,+1 401-217-0077,"226 Atwells Ave, Providence, RI 02903",226 Atwells Ave,Providence,Rhode Island,$200 - $600,02903,41.8233362,-71.4256009,,https://lh5.googleusercontent.com/p/AF1QipPZ0TkJ_TqOQz3FtmHwQC3pL6Aevm5-v6dpXE5r=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPZ0TkJ_TqOQz3FtmHwQC3pL6Aevm5-v6dpXE5r=w1600-h1000-k-no,"{""Monday"": ""Closed"", ""Tuesday"": ""12-6PM"", ""Wednesday"": ""12-6PM"", ""Thursday"": ""12-6PM"", ""Friday"": ""11AM-6PM"", ""Saturday"": ""11AM-6PM"", ""Sunday"": ""Closed""}",https://lh3.googleusercontent.com/-iPxB0z1zQf0/AAAAAAAAAAI/AAAAAAAAAAA/xrSX9RXgVeo/s44-p-k-no-ns-nd/photo.jpg,,,51,"https://www.google.com/maps/place/TattooMedics+Laser+Tattoo+Removal/@41.8233362,-71.42560089999999,14z/data=!4m8!1m2!2m1!1sTattooMedics+Laser+Tattoo+Removal!3m4!1s0x89e4450b135f3acd:0x5ba6ba2ba26ab873!8m2!3d41.8233362!4d-71.42560089999999"
Removery Tattoo Removal & Fading,https://removery.com/tattoo-removal/locations/nc/raleigh/pleasant-valley/?rsi=3ecff237-8ef6-40d4-91f5-eb78b0566942,"  Removery is the world’s leading tattoo removal company, specializing in safe, expert laser treatments to remove or fade unwanted ink.","{""Service options"": {""Language assistance"": ""English, Spanish""}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Amenities"": {""Gender-neutral restroom"": true, ""Restroom"": true, ""Restaurant"": false}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Appointments recommended"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",OPERATIONAL,+1 919-887-8374,"6274 Glenwood Ave Suite 106, Raleigh, NC 27612",6274 Glenwood Ave Suite 106,Raleigh,North Carolina,$175 - $550,27612,35.8581243,-78.7036524,https://lh5.googleusercontent.com/p/AF1QipNfbJ0X6TouOkFO-HGpjjsxr9oGo_HGIpFXEY4q=w800-h500-k-no ,https://lh5.googleusercontent.com/p/AF1QipNfbJ0X6TouOkFO-HGpjjsxr9oGo_HGIpFXEY4q=w800-h500-k-no ,https://lh5.googleusercontent.com/p/AF1QipNfbJ0X6TouOkFO-HGpjjsxr9oGo_HGIpFXEY4q=w1600-h1000-k-no,"{""Monday"": ""Closed"", ""Tuesday"": ""9:30AM-6PM"", ""Wednesday"": ""9:30AM-6PM"", ""Thursday"": ""9:30AM-6PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""9AM-3PM"", ""Sunday"": ""Closed""}",https://lh4.googleusercontent.com/-jzq2lVEWkII/AAAAAAAAAAI/AAAAAAAAAAA/-LBvhYzWpcE/s44-p-k-no-ns-nd/photo.jpg,,https://removery.com/online-booking/?rsi=2d7320e2-ffad-4475-aa39-1b9681252a12,357,"https://www.google.com/maps/place/Removery+Tattoo+Removal+%26+Fading/@35.8581243,-78.7036524,14z/data=!4m8!1m2!2m1!1sRemovery+Tattoo+Removal+%26+Fading!3m4!1s0x89acf7f1fc13b487:0x67a67a1d2497e27!8m2!3d35.8581243!4d-78.7036524"
Removery Tattoo Removal & Fading,http://removery.com/,"Removery is the world’s leading tattoo removal company, specializing in safe, expert laser treatments to remove or fade unwanted ink.","{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Restroom"": true, ""Restaurant"": false}, ""Planning"": {""Appointments recommended"": true}}",OPERATIONAL,+1 866-828-4059,"9749 Northlake Centre Pkwy A, Charlotte, NC 28216",9749 Northlake Centre Pkwy A,Charlotte,North Carolina,$175 - $550,28216,35.3481499,-80.85862,https://lh5.googleusercontent.com/p/AF1QipPtVwCcgfxuNnC_0f-B80M_QAe03zWAQmUK8GU=w800-h500-k-no ,https://lh5.googleusercontent.com/p/AF1QipPtVwCcgfxuNnC_0f-B80M_QAe03zWAQmUK8GU=w800-h500-k-no ,https://lh5.googleusercontent.com/p/AF1QipPtVwCcgfxuNnC_0f-B80M_QAe03zWAQmUK8GU=w1600-h1000-k-no,"{""Monday"": ""Closed"", ""Tuesday"": ""9:30AM-6PM"", ""Wednesday"": ""9:30AM-6PM"", ""Thursday"": ""9:30AM-6PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""9AM-1PM"", ""Sunday"": ""Closed""}",https://lh5.googleusercontent.com/-59cWxu8rFZU/AAAAAAAAAAI/AAAAAAAAAAA/NXQDh2RgLUM/s44-p-k-no-ns-nd/photo.jpg,,https://removery.com/online-booking/?rsi=2d7320e2-ffad-4475-aa39-1b9681252a12,182,"https://www.google.com/maps/place/Removery+Tattoo+Removal+%26+Fading/@35.348149899999996,-80.85862,14z/data=!4m8!1m2!2m1!1sRemovery+Tattoo+Removal+%26+Fading!3m4!1s0x8856a7fe725eda11:0x9a5968550448afe2!8m2!3d35.348149899999996!4d-80.85862"
Renewal Tattoo Removal,http://renewaltattooremoval.com/,"Renewal Tattoo Removal provides professional laser tattoo removal services, helping clients achieve clear skin with personalized care.","{""Service options"": {""Language assistance"": ""English""}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Restroom"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}}",OPERATIONAL,+1 919-948-6003,"7920 ACC Blvd 320 / Room #2, Raleigh, NC 27617",7920 ACC Blvd 320 / Room #2,Raleigh,North Carolina,$175 - $550,27617,35.917806,-78.7801275,https://lh5.googleusercontent.com/p/AF1QipO8WpnOZA2NCq4LaIRo2pkFkmq6rHQRP6J38Mcx=w800-h500-k-no ,https://lh5.googleusercontent.com/p/AF1QipO8WpnOZA2NCq4LaIRo2pkFkmq6rHQRP6J38Mcx=w800-h500-k-no ,https://lh5.googleusercontent.com/p/AF1QipO8WpnOZA2NCq4LaIRo2pkFkmq6rHQRP6J38Mcx=w1600-h1000-k-no,"{""Monday"": ""Closed"", ""Tuesday"": ""9:30AM-4:30PM"", ""Wednesday"": ""9:30AM-4:30PM"", ""Thursday"": ""9:30AM-4:30PM"", ""Friday"": ""9:30AM-4:30PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",https://lh5.googleusercontent.com/-cHO-Dx2_wuE/AAAAAAAAAAI/AAAAAAAAAAA/0l72Lm6tVTU/s44-p-k-no-ns-nd/photo.jpg,,https://renewaltattooremoval.as.me?hl=en-US&gei=CGTQZ-PqDOT-ptQP5rWasAU&rwg_token=AAiGsoYU4B27F5uNosoj4-8GV5Dw3wEsrtDpqq6Me_nDEpmBKRGlqGF8Xg_i9I0wv9mPNgaVDVLQopMw2BSevV0GnlrH3PfXdg%3D%3D,32,"https://www.google.com/maps/place/Renewal+Tattoo+Removal/@35.917806,-78.78012749999999,14z/data=!4m8!1m2!2m1!1sRenewal+Tattoo+Removal!3m4!1s0x89acfa705fefdb5d:0x9dbc0273a90a75ad!8m2!3d35.917806!4d-78.78012749999999"
Vanish-Ink Laser Tattoo Removal,https://vanish-ink.com/,"Vanish-Ink offers cutting-edge laser tattoo removal, dedicated to erasing unwanted tattoos safely and efficiently.","{""Accessibility"": {""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Restroom"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}}",OPERATIONAL,+1 704-334-0007,"310 East Blvd Suite C4, Charlotte, NC 28203",310 East Blvd Suite C4,Charlotte,North Carolina,$175 - $550,28203,35.2103186,-80.8563468,,https://lh5.googleusercontent.com/p/AF1QipOhZnqRz0MDWMAyLSIJ6Yb5OzKTUxA0ZmazMOLs=w800-h500-k-no ,https://lh5.googleusercontent.com/p/AF1QipOhZnqRz0MDWMAyLSIJ6Yb5OzKTUxA0ZmazMOLs=w1600-h1000-k-no,"{""Monday"": ""Closed"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""9AM-1PM"", ""Sunday"": ""Closed""}",https://lh4.googleusercontent.com/-umUXDSjgopE/AAAAAAAAAAI/AAAAAAAAAAA/Z91xWjMVbSE/s44-p-k-no-ns-nd/photo.jpg,,,77,"https://www.google.com/maps/place/Vanish-Ink+Laser+Tattoo+Removal/@35.2103186,-80.8563468,14z/data=!4m8!1m2!2m1!1sVanish-Ink+Laser+Tattoo+Removal!3m4!1s0x88569f99e573cbb1:0x6394f1f1c874c405!8m2!3d35.2103186!4d-80.8563468"
Removery Tattoo Removal & Fading,https://removery.com/tattoo-removal/locations/va/washington-dc/vienna/?rsi=3ecff237-8ef6-40d4-91f5-eb78b0566942,"Removery is the world’s leading tattoo removal company, specializing in safe, expert laser treatments to remove or fade unwanted ink.","{""Service options"": {""Language assistance"": ""English, Spanish""}, ""Accessibility"": {""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Amenities"": {""Gender-neutral restroom"": true, ""Restroom"": true, ""Restaurant"": false}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Appointments recommended"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",OPERATIONAL,+1 704-850-5367,"431 Maple Ave W, Vienna, VA 22180",431 Maple Ave W,Vienna,Virginia,$175 - $550,22180,38.895518,-77.273447,https://lh5.googleusercontent.com/p/AF1QipO9IOpVN6jEcvZWBppP8H3jLes67FbxSkIZ1cb_=w800-h500-k-no ,https://lh5.googleusercontent.com/p/AF1QipO9IOpVN6jEcvZWBppP8H3jLes67FbxSkIZ1cb_=w800-h500-k-no ,https://lh5.googleusercontent.com/p/AF1QipO9IOpVN6jEcvZWBppP8H3jLes67FbxSkIZ1cb_=w1600-h1000-k-no,"{""Monday"": ""Closed"", ""Tuesday"": ""9:30AM-6PM"", ""Wednesday"": ""9:30AM-6PM"", ""Thursday"": ""9:30AM-6PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""9AM-1PM"", ""Sunday"": ""Closed""}",https://lh4.googleusercontent.com/-k37gKFsNavw/AAAAAAAAAAI/AAAAAAAAAAA/kzkj4Xb4VXY/s44-p-k-no-ns-nd/photo.jpg,,https://removery.com/online-booking/?rsi=2d7320e2-ffad-4475-aa39-1b9681252a12,398,"https://www.google.com/maps/place/Removery+Tattoo+Removal+%26+Fading/@38.895517999999996,-77.27344699999999,14z/data=!4m8!1m2!2m1!1sRemovery+Tattoo+Removal+%26+Fading!3m4!1s0x89b64bc340040d65:0xe823475cbd6a75b6!8m2!3d38.895517999999996!4d-77.27344699999999"
Advanced Aesthetics Ink Laser Tattoo Removal,https://aailasertattooremoval.com/,"Advanced Aesthetics Ink delivers expert laser tattoo removal with a focus on precision, comfort, and skin health.","{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Amenities"": {""Restroom"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}}",OPERATIONAL,+1 508-991-1616,"13 Russells Mills Rd, South Dartmouth, MA 02748",13 Russells Mills Rd,South Dartmouth,Massachusetts,$200 - $650,02748,41.6088473,-70.941411,https://lh5.googleusercontent.com/p/AF1QipOBVDBaxJjnP6GpkxUB8tsgt_AaRtE_4c7AJ_yt=w800-h500-k-no ,https://lh5.googleusercontent.com/p/AF1QipOBVDBaxJjnP6GpkxUB8tsgt_AaRtE_4c7AJ_yt=w800-h500-k-no ,https://lh5.googleusercontent.com/p/AF1QipOBVDBaxJjnP6GpkxUB8tsgt_AaRtE_4c7AJ_yt=w1600-h1000-k-no,"{""Monday"": ""Closed"", ""Tuesday"": ""9:30AM-7:30PM"", ""Wednesday"": ""9:30AM-6PM"", ""Thursday"": ""9:30AM-7PM"", ""Friday"": ""9:30AM-6PM"", ""Saturday"": ""9:30AM-2PM"", ""Sunday"": ""Closed""}",https://lh6.googleusercontent.com/-hzn0s8On4dE/AAAAAAAAAAI/AAAAAAAAAAA/eZp1r9v9f8U/s44-p-k-no-ns-nd/photo.jpg,,,79,"https://www.google.com/maps/place/Advanced+Aesthetics+Ink+Laser+Tattoo+Removal/@41.6088473,-70.941411,14z/data=!4m8!1m2!2m1!1sAdvanced+Aesthetics+Ink+Laser+Tattoo+Removal!3m4!1s0x89e4e36f9ea1d55d:0x22215aab77bcc657!8m2!3d41.6088473!4d-70.941411"
Bye Bye Ink Laser Tattoo Removal,http://www.byebyeink.nyc/,Bye Bye Ink provides professional tattoo removal services using advanced laser technology to help clients say goodbye to unwanted tattoos.,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Language assistance"": ""English, Spanish""}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible parking lot"": false}, ""Amenities"": {""Restroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",OPERATIONAL,+1 347-396-5234,"Lower Level, 75-17 Metropolitan Ave, Middle Village, NY 11379","Lower Level, 75-17 Metropolitan Ave",Middle Village,New York,$200 - $700,11379,40.7131616,-73.8767996,https://lh5.googleusercontent.com/p/AF1QipPMkaqnqtYY6lCON6B66Dn2mD1ydnT0CRPCIZG6=w800-h500-k-no ,https://lh5.googleusercontent.com/p/AF1QipPMkaqnqtYY6lCON6B66Dn2mD1ydnT0CRPCIZG6=w800-h500-k-no ,https://lh5.googleusercontent.com/p/AF1QipPMkaqnqtYY6lCON6B66Dn2mD1ydnT0CRPCIZG6=w1600-h1000-k-no,"{""Monday"": ""11AM-7PM"", ""Tuesday"": ""11AM-7PM"", ""Wednesday"": ""11AM-7PM"", ""Thursday"": ""11AM-7PM"", ""Friday"": ""11AM-7PM"", ""Saturday"": ""10AM-5PM"", ""Sunday"": ""Closed""}",https://lh4.googleusercontent.com/-CLLAHcO26lI/AAAAAAAAAAI/AAAAAAAAAAA/f6PqwWHKfD0/s44-p-k-no-ns-nd/photo.jpg,,https://byebyeink.janeapp.com/?hl=en-US&gei=gGPQZ7GbJLqUxc8P6sLpiQk,229,"https://www.google.com/maps/place/Bye+Bye+Ink+Laser+Tattoo+Removal/@40.7131616,-73.8767996,14z/data=!4m8!1m2!2m1!1sBye+Bye+Ink+Laser+Tattoo+Removal!3m4!1s0x89c25df5aa4795a9:0x9a1cccaa06336eb4!8m2!3d40.7131616!4d-73.8767996"
Tattoo Savior - Laser Tattoo Removal,http://www.tattoosavior.com/,"Tattoo Savior specializes in laser tattoo removal, offering a compassionate approach to help clients erase tattoos and start fresh.","{""Service options"": {""In-store shopping"": true, ""Onsite services"": true, ""Delivery"": false, ""Same-day delivery"": false}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Planning"": {""Appointment required"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}}",OPERATIONAL,+1 724-292-8338,"408 W Main St, Monongahela, PA 15063",408 W Main St,Monongahela,Pennsylvania,$175 - $600,15063,40.2030599,-79.9263909,,https://lh5.googleusercontent.com/p/AF1QipMVzlEyFMNiLGCwfl9sGXCBhpM9NsT4SyiRX62N=w800-h500-k-no ,https://lh5.googleusercontent.com/p/AF1QipMVzlEyFMNiLGCwfl9sGXCBhpM9NsT4SyiRX62N=w1600-h1000-k-no,"{""Monday"": ""5:30-8:30PM"", ""Tuesday"": ""1:30-8:30PM"", ""Wednesday"": ""1:30-8:30PM"", ""Thursday"": ""5:30-8:30PM"", ""Friday"": ""1:30-8:30PM"", ""Saturday"": ""1:30-7PM"", ""Sunday"": ""Closed""}",https://lh3.googleusercontent.com/-IkuzD_D5BkI/AAAAAAAAAAI/AAAAAAAAAAA/tx43CAUJ3BU/s44-p-k-no-ns-nd/photo.jpg,,https://tattoo-savior.square.site/?hl=en-US&gei=gGPQZ7GbJLqUxc8P6sLpiQk,29,"https://www.google.com/maps/place/Tattoo+Savior+-+Laser+Tattoo+Removal/@40.2030599,-79.9263909,14z/data=!4m8!1m2!2m1!1sTattoo+Savior+-+Laser+Tattoo+Removal!3m4!1s0x8834fd51a1d9ab2d:0xa21c3b64414bfb23!8m2!3d40.2030599!4d-79.9263909"
Removery Tattoo Removal & Fading,https://removery.com/tattoo-removal/locations/ma/northampton/pleasant-st/?rsi=3ecff237-8ef6-40d4-91f5-eb78b0566942,"Removery is the world’s leading tattoo removal company, specializing in safe, expert laser treatments to remove or fade unwanted ink.","{""Service options"": {""Onsite services"": true, ""Language assistance"": ""English, Spanish""}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Amenities"": {""Gender-neutral restroom"": true, ""Restroom"": true, ""Restaurant"": false}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Appointments recommended"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",OPERATIONAL,+1 413-225-4206,"271 Pleasant St, Northampton, MA 01060",271 Pleasant St,Northampton,Massachusetts,$200 - $650,01060,42.3167341,-72.6263059,https://lh5.googleusercontent.com/p/AF1QipPPxNleVdCsKAllqdlQJ2kpa89NMv1i9Hqsc5Ll=w800-h500-k-no ,https://lh5.googleusercontent.com/p/AF1QipPPxNleVdCsKAllqdlQJ2kpa89NMv1i9Hqsc5Ll=w800-h500-k-no ,https://lh5.googleusercontent.com/p/AF1QipPPxNleVdCsKAllqdlQJ2kpa89NMv1i9Hqsc5Ll=w1600-h1000-k-no,"{""Monday"": ""Closed"", ""Tuesday"": ""9:30AM-6PM"", ""Wednesday"": ""9:30AM-6PM"", ""Thursday"": ""9:30AM-6PM"", ""Friday"": ""9:30AM-5PM"", ""Saturday"": ""9AM-3PM"", ""Sunday"": ""Closed""}",https://lh5.googleusercontent.com/-Epd0VPYxss0/AAAAAAAAAAI/AAAAAAAAAAA/siYMB61varo/s44-p-k-no-ns-nd/photo.jpg,,https://removery.com/online-booking/?rsi=2d7320e2-ffad-4475-aa39-1b9681252a12,294,"https://www.google.com/maps/place/Removery+Tattoo+Removal+%26+Fading/@42.3167341,-72.62630589999999,14z/data=!4m8!1m2!2m1!1sRemovery+Tattoo+Removal+%26+Fading!3m4!1s0x89e6d8fc55ac61ab:0xa6b71db07f23f693!8m2!3d42.3167341!4d-72.62630589999999"
